Version,1.04
Timestamp,NW
Region,NW,VMS,ES,REV
CCTVURL,images.wsdot.wa.gov,nw
405vc02261,352,1341  
405vc02367,417,1318
405vc02371,364,1319
405vc02452,432,1255
405vc02553,343,1239
405vc02563,397,1225
405vc02594,364,1227
405vc02665,313,1223
405vc02674,323,1202
405vc02760,314,1139
405vc02895,260,1161
405vc02924,266,1132
405vc02951,235,1143
405vc03022,266,1107
509vc02893,83,1959
509vc02956,44,1917
515vc00697,338,2049
516vc00198,193,2251
518vc00162,75,2073
518vc00228,89,2080
518vc00252,105,2066
518vc00297,133,2088
518vc00322,141,2050
518vc00349,153,2066
518vc00388,229,2078
520vc00027,141,1597
520vc00095,153,1578
520vc00131,171,1594
520vc00237,191,1615
520vc00241,191,1623
520vc00317,227,1621
520vc00398,267,1594
520vc00414,272,1631
520vc00455,311,1588
520vc00522,332,1623
520vc00593,340,1577
520vc00620,365,1579
520vc00760,435,1634
520vc00800,449,1601
520vc00861,469,1656
520vc00918,483,1650
520vc01012,538,1599
520vc01074,472,1552
520vc01169,522,1519
520vc01225,538,1554
520vc01283,573,1515
522vc00048,138,1450
522vc00536,196,1333
522vc00585,216,1317
522vc00661,235,1305
522vc00721,268,1289
522vc00750,288,1316
522vc00796,300,1295
522vc00816,314,1325
522vc01056,354,1302
522vc01207,454,1312
522vc01409,478,1234
525vc00091,189,1087
525vc00141,189,1064
525vc00237,226,1014
525vc00285,183,1013
525vc00353,182,989
525vc00409,175,967
525vc00480,163,941
525vc00524,186,924
525vc00559,184,904
527vc00662,324,1077
527vc00729,323,1063
527vc00813,328,1018
527vc00886,365,1012
527vc00950,376,964
599vc00041,162,2000
599vc00100,157,1994
599vc00141,138,1977
900vc02110,634,1914
900vc02142,623,1887
